taxa,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
CI31A,0.538165950556864,-4.37852441388917,2.56159197960699,-1.24785406322184,0.0817141530348428,1.21968241468351,0.566338712073613,1.65832163877877,0.897733300913029,0.563172787765772
CI3A,-0.647595169730744,-3.44010206535777,-2.58973537268383,-1.42949928423414,-1.73436518209278,-0.983771268674111,2.60161107985412,0.349229074491868,-2.94184561292714,0.766423810205787
CI64,3.20845650806002,-2.30034265611401,0.488267503494578,-2.57496104043158,-1.43581239749368,-0.511689170534704,-3.68213509874603,-1.8464408221318,3.88461964382181,2.02555392838452
CI66,3.27422491928874,-1.85484668865027,0.974832202418328,-1.78580118150915,-2.10976570086547,-0.152797163699729,0.373703243052174,-2.04669457313965,3.19453989395762,0.957784326843838
CI90C,1.98939011004704,-4.66684460473292,4.00669154741303,-2.06114326624167,4.17625562049015,-0.136885636693218,3.0467787285648,-4.68723005784557,1.01279742884791,-2.44593779114769
CI91B,-4.31144255627775,-2.65666839245409,0.800693314936967,-0.457286526778718,3.56026990712487,3.93257721868634,-3.04350506140262,3.32436753862232,4.44924512940796,-3.2546768340501
CM105,-20.4075810278107,-0.138009918019586,-19.8675212514066,0.789052530553882,-2.24340948903618,1.14359954685887,3.15019844812413,-4.9216989008366,-1.50517233232783,-1.3466201502158
CM174,-14.7710853731901,-2.28663681794763,-22.0292244642917,0.793402349120912,-3.16145814249473,1.0813966806593,2.58674524422102,-3.47062146350148,-1.91916040731119,-1.92899227005449
CM37,-1.89426975311377,-8.84789924907784,-1.13913682810283,-3.36322178859128,-7.6116323476184,4.33141101695503,5.44682139418288,-1.62446018769043,5.5914689377255,-0.582497398235234
CM7,-0.025201990924465,-6.8660319998318,0.605455574199078,-0.462043466983156,-0.954734453443027,0.363966990869325,0.570201568310871,2.40751891781834,2.6052174851051,2.93389719352135
CML10,10.4219164979295,7.40834783798842,1.19075803371292,-2.45064078082359,-0.0589418122734258,-8.75650702758632,3.42992723507564,-3.98138372892613,0.450080300541321,-3.66556351565417
CML103,8.53464986038779,6.18234565793532,-0.178999724673736,-0.124497857166133,-0.726619920536689,-7.27076178170145,1.94434639160527,-3.24755773896822,1.26690676038076,-1.17538782995693
